season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,umpire1
2008,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,41,0,"Punjab Cricket Association Stadium, Mohali",SJ Davis
2008,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,12,0,Feroz Shah Kotla,BG Jerling
2008,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,Wankhede Stadium,BR Doctrove
2008,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,6,0,Feroz Shah Kotla,AV Jayaprakash
2008,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,65,0,Sawai Mansingh Stadium,BF Bowden
2008,Hyderabad,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,25,0,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove
2008,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,3,0,Eden Gardens,Asad Rauf
2008,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,5,M Chinnaswamy Stadium,SJ Davis
2008,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,6,Eden Gardens,BG Jerling
2008,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,1,0,Wankhede Stadium,BF Bowden
2008,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,14,0,"MA Chidambaram Stadium, Chepauk",DJ Harper
2008,Chandigarh,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,"Punjab Cricket Association Stadium, Mohali",Asad Rauf
2008,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,5,Feroz Shah Kotla,BF Bowden
2008,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,10,0,"MA Chidambaram Stadium, Chepauk",DJ Harper
2008,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,3,0,M Chinnaswamy Stadium,BR Doctrove
2008,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,0,3,Eden Gardens,SJ Davis
2008,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,5,Sawai Mansingh Stadium,BF Bowden
2008,Hyderabad,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,0,7,"Rajiv Gandhi International Stadium, Uppal",BG Jerling
2008,Mumbai,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,105,0,Wankhede Stadium,BF Bowden
2008,Mumbai,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,0,9,Wankhede Stadium,Asad Rauf
2008,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,Dr DY Patil Sports Academy,BF Bowden
2009,Cape Town,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,19,0,Newlands,BR Doctrove
2009,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,75,0,Newlands,BR Doctrove
2009,Cape Town,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,10,Newlands,MR Benson
2009,Cape Town,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers,0,8,Newlands,MR Benson
2009,Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,92,0,St George's Park,BG Jerling
2009,Durban,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,11,0,Kingsmead,DJ Harper
2009,Cape Town,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,24,0,Newlands,M Erasmus
